,SUBZONE_N,102,61,104,52,122,19,119,3,93,103,1,95,22,23,35,111,76,101,4
114,TELOK BLANGAH RISE,14395.0,24923.0,14476.0,12228.0,29002.0,15864.0,19901.0,3548.0,11496.0,8536.0,32974.0,10527.0,16697.0,16722.0,16168.0,16431.0,18270.0,7289.0,4782.0
115,BUKIT BATOK SOUTH,25517.0,23719.0,25699.0,14952.0,16919.0,15857.0,10278.0,16404.0,26094.0,17524.0,17524.0,5392.0,31030.0,31055.0,21981.0,21491.0,29392.0,9855.0,11319.0
116,TIONG BAHRU STATION,12554.0,25385.0,12736.0,12689.0,28971.0,17833.0,18060.0,3442.0,10903.0,11024.0,29576.0,8686.0,17158.0,17183.0,13937.0,14200.0,16429.0,8238.0,3639.0
117,REDHILL,13840.0,26670.0,14022.0,13974.0,27803.0,14993.0,16892.0,4727.0,12189.0,12309.0,28408.0,7518.0,18443.0,18468.0,15223.0,15486.0,17715.0,5784.0,2471.0
118,TELOK BLANGAH DRIVE,15762.0,27188.0,16693.0,17407.0,31267.0,20529.0,20599.0,5813.0,13761.0,11857.0,32063.0,11225.0,18962.0,18987.0,17199.0,17462.0,19637.0,10585.0,5386.0
119,HENDERSON HILL,12971.0,25802.0,13153.0,13106.0,29388.0,15504.0,18477.0,3859.0,11320.0,9454.0,29993.0,9103.0,17575.0,17600.0,14354.0,14617.0,16846.0,5458.0,3425.0
120,ALEXANDRA HILL,14543.0,27373.0,14725.0,11923.0,28506.0,14801.0,17595.0,5430.0,12892.0,11370.0,29111.0,8221.0,19146.0,19171.0,15376.0,16189.0,18418.0,4594.0,2079.0
121,BUKIT MERAH,14643.0,22363.0,14825.0,12929.0,28606.0,16635.0,17695.0,6544.0,12992.0,11471.0,29211.0,8321.0,18700.0,18573.0,14318.0,17895.0,18518.0,5694.0,3960.0
122,BANGKIT,20119.0,15017.0,21583.0,17516.0,14974.0,20584.0,17234.0,17272.0,20406.0,18503.0,11850.0,10360.0,21986.0,22011.0,23420.0,23683.0,24878.0,12817.0,20571.0
123,ADMIRALTY,30353.0,5533.0,22484.0,16404.0,3471.0,13519.0,26641.0,25654.0,21502.0,26256.0,7443.0,24303.0,12844.0,12869.0,17555.0,19053.0,34228.0,22336.0,29978.0
124,SENGKANG TOWN CENTRE,12735.0,15026.0,11706.0,10646.0,19230.0,11236.0,34618.0,15155.0,10723.0,9599.0,20630.0,25244.0,9152.0,7615.0,8726.0,5539.0,17074.0,16849.0,20197.0
